precip,date,month,day,year
0,7/20/90,7,20,1990
0,7/21/90,7,21,1990
1,7/22/90,7,22,1990
0.3,7/23/90,7,23,1990
0,7/24/90,7,24,1990
0,7/25/90,7,25,1990
0,7/26/90,7,26,1990
1.3,7/27/90,7,27,1990
26.7,7/28/90,7,28,1990
0.3,7/29/90,7,29,1990
9.7,7/30/90,7,30,1990
0.3,7/31/90,7,31,1990
18.8,8/1/90,8,1,1990
4.8,8/2/90,8,2,1990
0.3,8/3/90,8,3,1990
1,8/4/90,8,4,1990
0.3,8/5/90,8,5,1990
0,8/6/90,8,6,1990
1.3,8/7/90,8,7,1990
5.6,8/8/90,8,8,1990
0,8/9/90,8,9,1990
1,8/10/90,8,10,1990
1.5,8/11/90,8,11,1990
0,8/12/90,8,12,1990
0,8/13/90,8,13,1990
0,8/14/90,8,14,1990
19.1,8/15/90,8,15,1990
0.8,8/16/90,8,16,1990
2.5,8/17/90,8,17,1990
0,8/18/90,8,18,1990
1.3,8/19/90,8,19,1990
0.3,8/20/90,8,20,1990
0,8/21/90,8,21,1990
0,8/22/90,8,22,1990
0,8/23/90,8,23,1990
5.8,8/24/90,8,24,1990
0,8/25/90,8,25,1990
0.3,8/26/90,8,26,1990
0,8/27/90,8,27,1990
0.3,8/28/90,8,28,1990
0,8/29/90,8,29,1990
0.3,8/30/90,8,30,1990
0.3,8/31/90,8,31,1990
0,9/1/90,9,1,1990
0.3,9/2/90,9,2,1990
0.5,9/3/90,9,3,1990
0.3,9/4/90,9,4,1990
2,9/5/90,9,5,1990
0,9/6/90,9,6,1990
0,9/7/90,9,7,1990
0,9/8/90,9,8,1990
0.3,9/9/90,9,9,1990
0,9/10/90,9,10,1990
0.3,9/11/90,9,11,1990
0,9/12/90,9,12,1990
0,9/13/90,9,13,1990
10.7,9/14/90,9,14,1990
0.3,9/15/90,9,15,1990
25.1,9/16/90,9,16,1990
0,9/17/90,9,17,1990
0.3,9/18/90,9,18,1990
0,9/19/90,9,19,1990
4.8,9/20/90,9,20,1990
0,9/21/90,9,21,1990
0.3,9/22/90,9,22,1990
0,9/23/90,9,23,1990
14.5,9/24/90,9,24,1990
5.3,9/25/90,9,25,1990
0,9/26/90,9,26,1990
0,9/27/90,9,27,1990
0,9/28/90,9,28,1990
0.5,9/29/90,9,29,1990
0,9/30/90,9,30,1990
0,10/1/90,10,1,1990
-99,10/2/90,10,2,1990
-99,10/3/90,10,3,1990
0,10/4/90,10,4,1990
0,10/5/90,10,5,1990
11.7,10/6/90,10,6,1990
20.1,10/7/90,10,7,1990
0,10/8/90,10,8,1990
0,10/9/90,10,9,1990
0,10/10/90,10,10,1990
0,10/11/90,10,11,1990
0,10/12/90,10,12,1990
0,10/13/90,10,13,1990
0,10/14/90,10,14,1990
0,10/15/90,10,15,1990
0,10/16/90,10,16,1990
5.6,10/17/90,10,17,1990
0.3,10/18/90,10,18,1990
17,10/19/90,10,19,1990
2.3,10/20/90,10,20,1990
0,10/21/90,10,21,1990
0,10/22/90,10,22,1990
0,10/23/90,10,23,1990
0,10/24/90,10,24,1990
0,10/25/90,10,25,1990
0,10/26/90,10,26,1990
0,10/27/90,10,27,1990
0,10/28/90,10,28,1990
0,10/29/90,10,29,1990
0,10/30/90,10,30,1990
9.4,10/31/90,10,31,1990
5.1,11/1/90,11,1,1990
0,11/2/90,11,2,1990
0,11/3/90,11,3,1990
0,11/4/90,11,4,1990
0,11/5/90,11,5,1990
13,11/6/90,11,6,1990
0.3,11/7/90,11,7,1990
0,11/8/90,11,8,1990
0,11/9/90,11,9,1990
0,11/10/90,11,10,1990
31.5,11/11/90,11,11,1990
14,11/12/90,11,12,1990
0,11/13/90,11,13,1990
0.3,11/14/90,11,14,1990
17.3,11/15/90,11,15,1990
3.6,11/16/90,11,16,1990
0,11/17/90,11,17,1990
0,11/18/90,11,18,1990
0,11/19/90,11,19,1990
0,11/20/90,11,20,1990
0,11/21/90,11,21,1990
0,11/22/90,11,22,1990
0,11/23/90,11,23,1990
0,11/24/90,11,24,1990
0,11/25/90,11,25,1990
0,11/26/90,11,26,1990
22.9,11/27/90,11,27,1990
0.3,11/28/90,11,28,1990
0,11/29/90,11,29,1990
0,11/30/90,11,30,1990
0,6/1/91,6,1,1991
0,6/2/91,6,2,1991
46.5,6/3/91,6,3,1991
7.6,6/4/91,6,4,1991
0,6/5/91,6,5,1991
0,6/6/91,6,6,1991
0,6/7/91,6,7,1991
0,6/8/91,6,8,1991
0,6/9/91,6,9,1991
0,6/10/91,6,10,1991
0,6/11/91,6,11,1991
28.2,6/12/91,6,12,1991
0,6/13/91,6,13,1991
0,6/14/91,6,14,1991
0,6/15/91,6,15,1991
0.3,6/16/91,6,16,1991
0,6/17/91,6,17,1991
25.7,6/18/91,6,18,1991
0,6/19/91,6,19,1991
0,6/20/91,6,20,1991
2,6/21/91,6,21,1991
0.3,6/22/91,6,22,1991
0,6/23/91,6,23,1991
4.8,6/24/91,6,24,1991
7.1,6/25/91,6,25,1991
0,6/26/91,6,26,1991
0,6/27/91,6,27,1991
0,6/28/91,6,28,1991
0,6/29/91,6,29,1991
0,6/30/91,6,30,1991
0,7/1/91,7,1,1991
8.9,7/2/91,7,2,1991
0,7/3/91,7,3,1991
0,7/4/91,7,4,1991
0,7/5/91,7,5,1991
0.8,7/6/91,7,6,1991
0.3,7/7/91,7,7,1991
0,7/8/91,7,8,1991
1.8,7/9/91,7,9,1991
2,7/10/91,7,10,1991
31.5,7/11/91,7,11,1991
4.1,7/12/91,7,12,1991
2.8,7/13/91,7,13,1991
0,7/14/91,7,14,1991
2,7/15/91,7,15,1991
0,7/16/91,7,16,1991
0,7/17/91,7,17,1991
24.6,7/18/91,7,18,1991
0.8,7/19/91,7,19,1991
0.3,7/20/91,7,20,1991
0.3,7/21/91,7,21,1991
0,7/22/91,7,22,1991
0,7/23/91,7,23,1991
0,7/24/91,7,24,1991
0,7/25/91,7,25,1991
0,7/26/91,7,26,1991
15,7/27/91,7,27,1991
0,7/28/91,7,28,1991
0,7/29/91,7,29,1991
0,7/30/91,7,30,1991
0,7/31/91,7,31,1991
2.8,8/1/91,8,1,1991
0.3,8/2/91,8,2,1991
0,8/3/91,8,3,1991
9.7,8/4/91,8,4,1991
26.9,8/5/91,8,5,1991
0.3,8/6/91,8,6,1991
0.3,8/7/91,8,7,1991
0,8/8/91,8,8,1991
0,8/9/91,8,9,1991
0,8/10/91,8,10,1991
0,8/11/91,8,11,1991
0,8/12/91,8,12,1991
10.9,8/13/91,8,13,1991
0.3,8/14/91,8,14,1991
0,8/15/91,8,15,1991
0,8/16/91,8,16,1991
0,8/17/91,8,17,1991
0.8,8/18/91,8,18,1991
0,8/19/91,8,19,1991
0.3,8/20/91,8,20,1991
2.3,8/21/91,8,21,1991
2.8,8/22/91,8,22,1991
0.5,8/23/91,8,23,1991
0.3,8/24/91,8,24,1991
0,8/25/91,8,25,1991
0,8/26/91,8,26,1991
0,8/27/91,8,27,1991
0,8/28/91,8,28,1991
1.8,8/29/91,8,29,1991
0.3,8/30/91,8,30,1991
0,8/31/91,8,31,1991
0,9/1/91,9,1,1991
21.3,9/2/91,9,2,1991
0,9/3/91,9,3,1991
0.3,9/4/91,9,4,1991
2.8,9/5/91,9,5,1991
0,9/6/91,9,6,1991
0,9/7/91,9,7,1991
0,9/8/91,9,8,1991
0,9/9/91,9,9,1991
0,9/10/91,9,10,1991
3.6,9/11/91,9,11,1991
0,9/12/91,9,12,1991
0,9/13/91,9,13,1991
0.3,9/14/91,9,14,1991
2.5,9/15/91,9,15,1991
0,9/16/91,9,16,1991
0,9/17/91,9,17,1991
0.3,9/18/91,9,18,1991
0,9/19/91,9,19,1991
0.8,9/20/91,9,20,1991
7.9,9/21/91,9,21,1991
17,9/22/91,9,22,1991
0.5,9/23/91,9,23,1991
0.3,9/24/91,9,24,1991
0.3,9/25/91,9,25,1991
15,9/26/91,9,26,1991
0,9/27/91,9,27,1991
0,9/28/91,9,28,1991
11.4,9/29/91,9,29,1991
0,9/30/91,9,30,1991
0,10/1/91,10,1,1991
0,10/2/91,10,2,1991
0,10/3/91,10,3,1991
0.3,10/4/91,10,4,1991
0,10/5/91,10,5,1991
0,10/6/91,10,6,1991
5.3,10/7/91,10,7,1991
0,10/8/91,10,8,1991
0,10/9/91,10,9,1991
0,10/10/91,10,10,1991
0,10/11/91,10,11,1991
0,10/12/91,10,12,1991
0,10/13/91,10,13,1991
0.8,10/14/91,10,14,1991
1.8,10/15/91,10,15,1991
8.4,10/16/91,10,16,1991
21.3,10/17/91,10,17,1991
1.3,10/18/91,10,18,1991
0,10/19/91,10,19,1991
0,10/20/91,10,20,1991
0,10/21/91,10,21,1991
0,10/22/91,10,22,1991
0,10/23/91,10,23,1991
0,10/24/91,10,24,1991
0.8,10/25/91,10,25,1991
0.5,10/26/91,10,26,1991
0,10/27/91,10,27,1991
0,10/28/91,10,28,1991
0,10/29/91,10,29,1991
0,10/30/91,10,30,1991
0,10/31/91,10,31,1991
4.6,11/1/91,11,1,1991
1.5,11/2/91,11,2,1991
0,11/3/91,11,3,1991
3.3,11/4/91,11,4,1991
0,11/5/91,11,5,1991
8.6,11/6/91,11,6,1991
0,11/7/91,11,7,1991
0,11/8/91,11,8,1991
0,11/9/91,11,9,1991
1.8,11/10/91,11,10,1991
0,11/11/91,11,11,1991
0,11/12/91,11,12,1991
0,11/13/91,11,13,1991
0,11/14/91,11,14,1991
0.5,11/15/91,11,15,1991
0,11/16/91,11,16,1991
0,11/17/91,11,17,1991
0,11/18/91,11,18,1991
0,11/19/91,11,19,1991
0,11/20/91,11,20,1991
1,11/21/91,11,21,1991
0,11/22/91,11,22,1991
0,11/23/91,11,23,1991
0,11/24/91,11,24,1991
0.3,11/25/91,11,25,1991
4.6,11/26/91,11,26,1991
1.8,11/27/91,11,27,1991
0,11/28/91,11,28,1991
0,11/29/91,11,29,1991
10.4,11/30/91,11,30,1991
0.3,6/1/92,6,1,1992
2,6/2/92,6,2,1992
0,6/3/92,6,3,1992
0,6/4/92,6,4,1992
11.7,6/5/92,6,5,1992
12.4,6/6/92,6,6,1992
9.9,6/7/92,6,7,1992
0,6/8/92,6,8,1992
0.5,6/9/92,6,9,1992
0,6/10/92,6,10,1992
15.7,6/11/92,6,11,1992
25.7,6/12/92,6,12,1992
0,6/13/92,6,13,1992
0.5,6/14/92,6,14,1992
18.3,6/15/92,6,15,1992
1.3,6/16/92,6,16,1992
1,6/17/92,6,17,1992
0,6/18/92,6,18,1992
0,6/19/92,6,19,1992
0.3,6/20/92,6,20,1992
0,6/21/92,6,21,1992
26.7,6/22/92,6,22,1992
4.6,6/23/92,6,23,1992
0,6/24/92,6,24,1992
0,6/25/92,6,25,1992
0,6/26/92,6,26,1992
9.4,6/27/92,6,27,1992
6.9,6/28/92,6,28,1992
0,6/29/92,6,29,1992
0,6/30/92,6,30,1992
0,7/1/92,7,1,1992
0,7/2/92,7,2,1992
0,7/3/92,7,3,1992
0,7/4/92,7,4,1992
0,7/5/92,7,5,1992
0,7/6/92,7,6,1992
0,7/7/92,7,7,1992
0,7/8/92,7,8,1992
5.8,7/9/92,7,9,1992
0.3,7/10/92,7,10,1992
0,7/11/92,7,11,1992
0,7/12/92,7,12,1992
0,7/13/92,7,13,1992
0,7/14/92,7,14,1992
1.8,7/15/92,7,15,1992
0,7/16/92,7,16,1992
0,7/17/92,7,17,1992
0,7/18/92,7,18,1992
1.5,7/19/92,7,19,1992
0.3,7/20/92,7,20,1992
0,7/21/92,7,21,1992
0,7/22/92,7,22,1992
13.2,7/23/92,7,23,1992
0.3,7/24/92,7,24,1992
0,7/25/92,7,25,1992
0.3,7/26/92,7,26,1992
0,7/27/92,7,27,1992
1.3,7/28/92,7,28,1992
0,7/29/92,7,29,1992
0.5,7/30/92,7,30,1992
0,7/31/92,7,31,1992
0.3,8/1/92,8,1,1992
0.3,8/2/92,8,2,1992
0,8/3/92,8,3,1992
0,8/4/92,8,4,1992
0.8,8/5/92,8,5,1992
0,8/6/92,8,6,1992
0,8/7/92,8,7,1992
0,8/8/92,8,8,1992
0,8/9/92,8,9,1992
0,8/10/92,8,10,1992
0,8/11/92,8,11,1992
0,8/12/92,8,12,1992
14.2,8/13/92,8,13,1992
0,8/14/92,8,14,1992
0,8/15/92,8,15,1992
0.3,8/16/92,8,16,1992
0,8/17/92,8,17,1992
0,8/18/92,8,18,1992
0,8/19/92,8,19,1992
1.3,8/20/92,8,20,1992
0.3,8/21/92,8,21,1992
6.1,8/22/92,8,22,1992
0,8/23/92,8,23,1992
3,8/24/92,8,24,1992
0,8/25/92,8,25,1992
0,8/26/92,8,26,1992
0,8/27/92,8,27,1992
0,8/28/92,8,28,1992
19.1,8/29/92,8,29,1992
1.3,8/30/92,8,30,1992
0,8/31/92,8,31,1992
0,9/1/92,9,1,1992
0.3,9/2/92,9,2,1992
2.3,9/3/92,9,3,1992
2,9/4/92,9,4,1992
0,9/5/92,9,5,1992
0,9/6/92,9,6,1992
0,9/7/92,9,7,1992
0,9/8/92,9,8,1992
0,9/9/92,9,9,1992
0,9/10/92,9,10,1992
0,9/11/92,9,11,1992
0,9/12/92,9,12,1992
0,9/13/92,9,13,1992
0,9/14/92,9,14,1992
3.3,9/15/92,9,15,1992
21.6,9/16/92,9,16,1992
0,9/17/92,9,17,1992
0,9/18/92,9,18,1992
0.3,9/19/92,9,19,1992
0,9/20/92,9,20,1992
0,9/21/92,9,21,1992
0,9/22/92,9,22,1992
19.6,9/23/92,9,23,1992
0,9/24/92,9,24,1992
0.3,9/25/92,9,25,1992
1,9/26/92,9,26,1992
15.2,9/27/92,9,27,1992
4.1,9/28/92,9,28,1992
0,9/29/92,9,29,1992
0.5,9/30/92,9,30,1992
0,10/1/92,10,1,1992
0,10/2/92,10,2,1992
0.5,10/3/92,10,3,1992
4.3,10/4/92,10,4,1992
1,10/5/92,10,5,1992
0,10/6/92,10,6,1992
0.3,10/7/92,10,7,1992
0,10/8/92,10,8,1992
0,10/9/92,10,9,1992
0,10/10/92,10,10,1992
1,10/11/92,10,11,1992
4.8,10/12/92,10,12,1992
16,10/13/92,10,13,1992
0,10/14/92,10,14,1992
0,10/15/92,10,15,1992
29.5,10/16/92,10,16,1992
0.5,10/17/92,10,17,1992
0,10/18/92,10,18,1992
0.5,10/19/92,10,19,1992
0,10/20/92,10,20,1992
0,10/21/92,10,21,1992
0,10/22/92,10,22,1992
8.4,10/23/92,10,23,1992
0,10/24/92,10,24,1992
0,10/25/92,10,25,1992
31,10/26/92,10,26,1992
0,10/27/92,10,27,1992
0,10/28/92,10,28,1992
0,10/29/92,10,29,1992
0,10/30/92,10,30,1992
0,10/31/92,10,31,1992
0,11/1/92,11,1,1992
0,11/2/92,11,2,1992
0,11/3/92,11,3,1992
2,11/4/92,11,4,1992
0,11/5/92,11,5,1992
25.7,11/6/92,11,6,1992
0,11/7/92,11,7,1992
0,11/8/92,11,8,1992
0,11/9/92,11,9,1992
0,11/10/92,11,10,1992
4.3,11/11/92,11,11,1992
15.5,11/12/92,11,12,1992
8.6,11/13/92,11,13,1992
0,11/14/92,11,14,1992
0,11/15/92,11,15,1992
5.1,11/16/92,11,16,1992
33.3,11/17/92,11,17,1992
5.3,11/18/92,11,18,1992
0.5,11/19/92,11,19,1992
0,11/20/92,11,20,1992
0.5,11/21/92,11,21,1992
7.6,11/22/92,11,22,1992
1,11/23/92,11,23,1992
0,11/24/92,11,24,1992
1.3,11/25/92,11,25,1992
0,11/26/92,11,26,1992
3.8,11/27/92,11,27,1992
0,11/28/92,11,28,1992
0,11/29/92,11,29,1992
0,11/30/92,11,30,1992
13.7,6/1/93,6,1,1993
0,6/2/93,6,2,1993
0,6/3/93,6,3,1993
0,6/4/93,6,4,1993
2.8,6/5/93,6,5,1993
0.3,6/6/93,6,6,1993
4.8,6/7/93,6,7,1993
0.3,6/8/93,6,8,1993
0,6/9/93,6,9,1993
0,6/10/93,6,10,1993
3.8,6/11/93,6,11,1993
0,6/12/93,6,12,1993
4.1,6/13/93,6,13,1993
6.6,6/14/93,6,14,1993
0,6/15/93,6,15,1993
0,6/16/93,6,16,1993
0,6/17/93,6,17,1993
3.6,6/18/93,6,18,1993
5.8,6/19/93,6,19,1993
1.5,6/20/93,6,20,1993
0,6/21/93,6,21,1993
5.6,6/22/93,6,22,1993
8.1,6/23/93,6,23,1993
0,6/24/93,6,24,1993
0,6/25/93,6,25,1993
0,6/26/93,6,26,1993
5.1,6/27/93,6,27,1993
0,6/28/93,6,28,1993
0,6/29/93,6,29,1993
0,6/30/93,6,30,1993
0,7/1/93,7,1,1993
0,7/2/93,7,2,1993
0,7/3/93,7,3,1993
0,7/4/93,7,4,1993
0,7/5/93,7,5,1993
0,7/6/93,7,6,1993
0,7/7/93,7,7,1993
0,7/8/93,7,8,1993
1.8,7/9/93,7,9,1993
0.3,7/10/93,7,10,1993
11.2,7/11/93,7,11,1993
2,7/12/93,7,12,1993
0.3,7/13/93,7,13,1993
0,7/14/93,7,14,1993
0,7/15/93,7,15,1993
14.5,7/16/93,7,16,1993
0.3,7/17/93,7,17,1993
3,7/18/93,7,18,1993
0,7/19/93,7,19,1993
0.3,7/20/93,7,20,1993
1.3,7/21/93,7,21,1993
6.9,7/22/93,7,22,1993
1,7/23/93,7,23,1993
0,7/24/93,7,24,1993
0,7/25/93,7,25,1993
0,7/26/93,7,26,1993
0,7/27/93,7,27,1993
0,7/28/93,7,28,1993
0,7/29/93,7,29,1993
0,7/30/93,7,30,1993
0,7/31/93,7,31,1993
41.7,8/1/93,8,1,1993
5.8,8/2/93,8,2,1993
3.3,8/3/93,8,3,1993
10.4,8/4/93,8,4,1993
12.2,8/5/93,8,5,1993
0,8/6/93,8,6,1993
1.3,8/7/93,8,7,1993
5.6,8/8/93,8,8,1993
15,8/9/93,8,9,1993
0.8,8/10/93,8,10,1993
2.3,8/11/93,8,11,1993
0.8,8/12/93,8,12,1993
0.5,8/13/93,8,13,1993
0,8/14/93,8,14,1993
0,8/15/93,8,15,1993
1.3,8/16/93,8,16,1993
0,8/17/93,8,17,1993
0.3,8/18/93,8,18,1993
0,8/19/93,8,19,1993
0,8/20/93,8,20,1993
0,8/21/93,8,21,1993
0,8/22/93,8,22,1993
0,8/23/93,8,23,1993
0,8/24/93,8,24,1993
0,8/25/93,8,25,1993
0,8/26/93,8,26,1993
0,8/27/93,8,27,1993
0,8/28/93,8,28,1993
0,8/29/93,8,29,1993
0,8/30/93,8,30,1993
0,8/31/93,8,31,1993
0.8,9/1/93,9,1,1993
8.9,9/2/93,9,2,1993
0.3,9/3/93,9,3,1993
22.1,9/4/93,9,4,1993
0,9/5/93,9,5,1993
0,9/6/93,9,6,1993
0,9/7/93,9,7,1993
0,9/8/93,9,8,1993
0,9/9/93,9,9,1993
0,9/10/93,9,10,1993
0,9/11/93,9,11,1993
0.3,9/12/93,9,12,1993
0,9/13/93,9,13,1993
0.3,9/14/93,9,14,1993
0.3,9/15/93,9,15,1993
41.7,9/16/93,9,16,1993
0.3,9/17/93,9,17,1993
0.3,9/18/93,9,18,1993
26.4,9/19/93,9,19,1993
0.3,9/20/93,9,20,1993
0.3,9/21/93,9,21,1993
0,9/22/93,9,22,1993
30.7,9/23/93,9,23,1993
0.3,9/24/93,9,24,1993
0.8,9/25/93,9,25,1993
15,9/26/93,9,26,1993
0.8,9/27/93,9,27,1993
2.3,9/28/93,9,28,1993
0,9/29/93,9,29,1993
0.3,9/30/93,9,30,1993
0.3,10/1/93,10,1,1993
0.3,10/2/93,10,2,1993
0,10/3/93,10,3,1993
21.1,10/4/93,10,4,1993
0,10/5/93,10,5,1993
0,10/6/93,10,6,1993
0,10/7/93,10,7,1993
0,10/8/93,10,8,1993
0,10/9/93,10,9,1993
0,10/10/93,10,10,1993
0.3,10/11/93,10,11,1993
4.6,10/12/93,10,12,1993
0,10/13/93,10,13,1993
0,10/14/93,10,14,1993
43.2,10/15/93,10,15,1993
0,10/16/93,10,16,1993
0,10/17/93,10,17,1993
0,10/18/93,10,18,1993
0,10/19/93,10,19,1993
0,10/20/93,10,20,1993
3.6,10/21/93,10,21,1993
0.3,10/22/93,10,22,1993
3.6,10/23/93,10,23,1993
0,10/24/93,10,24,1993
0,10/25/93,10,25,1993
0,10/26/93,10,26,1993
28.4,10/27/93,10,27,1993
1,10/28/93,10,28,1993
37.6,10/29/93,10,29,1993
0,10/30/93,10,30,1993
0,10/31/93,10,31,1993
0,11/1/93,11,1,1993
1.3,11/2/93,11,2,1993
4.3,11/3/93,11,3,1993
