index,date,flow ,flow (mm/sec),day,month,year
46,2/15/02,1.22328576,6.85E-20,15,2,2002
47,2/16/02,1.18364224,6.63E-20,16,2,2002
48,2/17/02,1.32239456,7.41E-20,17,2,2002
49,2/18/02,1.36486976,7.64E-20,18,2,2002
50,2/19/02,1.26859264,7.11E-20,19,2,2002
51,2/20/02,1.3025728,7.30E-20,20,2,2002
52,2/21/02,1.982176,1.11E-19,21,2,2002
53,2/22/02,3.0298976,1.70E-19,22,2,2002
54,2/23/02,3.3696992,1.89E-19,23,2,2002
55,2/24/02,2.80619488,1.57E-19,24,2,2002
56,2/25/02,2.42391808,1.36E-19,25,2,2002
57,2/26/02,2.28516576,1.28E-19,26,2,2002
58,2/27/02,2.70991776,1.52E-19,27,2,2002
59,2/28/02,3.4263328,1.92E-19,28,2,2002
60,3/1/02,2.82318496,1.58E-19,1,3,2002
61,3/2/02,2.3786112,1.33E-19,2,3,2002
62,3/3/02,4.7005888,2.63E-19,3,3,2002
63,3/4/02,8.778208,4.92E-19,4,3,2002
64,3/5/02,6.0597952,3.39E-19,5,3,2002
65,3/6/02,4.0209856,2.25E-19,6,3,2002
66,3/7/02,3.5396,1.98E-19,7,3,2002
67,3/8/02,3.0298976,1.70E-19,8,3,2002
68,3/9/02,2.78637312,1.56E-19,9,3,2002
69,3/10/02,4.3607872,2.44E-19,10,3,2002
70,3/11/02,6.1447456,3.44E-19,11,3,2002
71,3/12/02,4.7005888,2.63E-19,12,3,2002
72,3/13/02,3.822768,2.14E-19,13,3,2002
73,3/14/02,3.4829664,1.95E-19,14,3,2002
74,3/15/02,3.114848,1.74E-19,15,3,2002
75,3/16/02,2.82884832,1.58E-19,16,3,2002
76,3/17/02,2.5768288,1.44E-19,17,3,2002
77,3/18/02,2.38144288,1.33E-19,18,3,2002
78,3/19/02,2.31348256,1.30E-19,19,3,2002
79,3/20/02,2.28233408,1.28E-19,20,3,2002
80,3/21/02,2.67876928,1.50E-19,21,3,2002
81,3/22/02,3.2281152,1.81E-19,22,3,2002
82,3/23/02,2.8599968,1.60E-19,23,3,2002
83,3/24/02,2.6476208,1.48E-19,24,3,2002
84,3/25/02,2.62779904,1.47E-19,25,3,2002
85,3/26/02,2.69859104,1.51E-19,26,3,2002
86,3/27/02,8.0136544,4.49E-19,27,3,2002
87,3/28/02,12.3461248,6.91E-19,28,3,2002
88,3/29/02,10.052464,5.63E-19,29,3,2002
89,3/30/02,8.2685056,4.63E-19,30,3,2002
90,3/31/02,8.778208,4.92E-19,31,3,2002
91,4/1/02,8.9481088,5.01E-19,1,4,2002
92,4/2/02,10.194048,5.71E-19,2,4,2002
93,4/3/02,7.6738528,4.30E-19,3,4,2002
94,4/4/02,7.1924672,4.03E-19,4,4,2002
95,4/5/02,6.2863296,3.52E-19,5,4,2002
96,4/6/02,5.1819744,2.90E-19,6,4,2002
97,4/7/02,4.4174208,2.47E-19,7,4,2002
98,4/8/02,3.8794016,2.17E-19,8,4,2002
99,4/9/02,3.6245504,2.03E-19,9,4,2002
100,4/10/02,3.4829664,1.95E-19,10,4,2002
101,4/11/02,3.1714816,1.78E-19,11,4,2002
102,4/12/02,2.8883136,1.62E-19,12,4,2002
103,4/13/02,2.75805632,1.54E-19,13,4,2002
104,4/14/02,3.4829664,1.95E-19,14,4,2002
105,4/15/02,5.1253408,2.87E-19,15,4,2002
106,4/16/02,6.7677152,3.79E-19,16,4,2002
107,4/17/02,5.4934592,3.08E-19,17,4,2002
108,4/18/02,4.3607872,2.44E-19,18,4,2002
109,4/19/02,3.6528672,2.05E-19,19,4,2002
110,4/20/02,3.3130656,1.86E-19,20,4,2002
111,4/21/02,2.9166304,1.63E-19,21,4,2002
112,4/22/02,2.57399712,1.44E-19,22,4,2002
113,4/23/02,2.4918784,1.40E-19,23,4,2002
114,4/24/02,2.4494032,1.37E-19,24,4,2002
115,4/25/02,2.42674976,1.36E-19,25,4,2002
116,4/26/02,3.681184,2.06E-19,26,4,2002
117,4/27/02,5.0403904,2.82E-19,27,4,2002
118,4/28/02,4.530688,2.54E-19,28,4,2002
119,4/29/02,5.4085088,3.03E-19,29,4,2002
120,4/30/02,6.37128,3.57E-19,30,4,2002
121,5/1/02,5.8898944,3.30E-19,1,5,2002
122,5/2/02,5.3518752,3.00E-19,2,5,2002
123,5/3/02,9.344544,5.23E-19,3,5,2002
124,5/4/02,8.3251392,4.66E-19,4,5,2002
125,5/5/02,5.7199936,3.20E-19,5,5,2002
126,5/6/02,4.5873216,2.57E-19,6,5,2002
127,5/7/02,3.7944512,2.13E-19,7,5,2002
128,5/8/02,3.3130656,1.86E-19,8,5,2002
129,5/9/02,2.9166304,1.63E-19,9,5,2002
130,5/10/02,3.0015808,1.68E-19,10,5,2002
131,5/11/02,2.8883136,1.62E-19,11,5,2002
132,5/12/02,2.5626704,1.44E-19,12,5,2002
133,5/13/02,4.0776192,2.28E-19,13,5,2002
134,5/14/02,16.3954272,9.18E-19,14,5,2002
135,5/15/02,22.7667072,1.28E-18,15,5,2002
136,5/16/02,12.9124608,7.23E-19,16,5,2002
137,5/17/02,8.7215744,4.88E-19,17,5,2002
138,5/18/02,7.503952,4.20E-19,18,5,2002
139,5/19/02,9.7126624,5.44E-19,19,5,2002
140,5/20/02,8.0986048,4.54E-19,20,5,2002
141,5/21/02,6.0314784,3.38E-19,21,5,2002
142,5/22/02,4.9837568,2.79E-19,22,5,2002
143,5/23/02,4.1625696,2.33E-19,23,5,2002
144,5/24/02,3.5396,1.98E-19,24,5,2002
145,5/25/02,3.114848,1.74E-19,25,5,2002
146,5/26/02,2.6334624,1.47E-19,26,5,2002
147,5/27/02,2.38993792,1.34E-19,27,5,2002
148,5/28/02,2.19738368,1.23E-19,28,5,2002
149,5/29/02,2.03314624,1.14E-19,29,5,2002
150,5/30/02,1.87457216,1.05E-19,30,5,2002
151,5/31/02,2.2795024,1.28E-19,31,5,2002
152,6/1/02,3.9926688,2.24E-19,1,6,2002
153,6/2/02,3.2847488,1.84E-19,2,6,2002
154,6/3/02,2.3078192,1.29E-19,3,6,2002
155,6/4/02,1.840592,1.03E-19,4,6,2002
156,6/5/02,1.70183968,9.53E-20,5,6,2002
157,6/6/02,2.59381888,1.45E-19,6,6,2002
158,6/7/02,5.9182112,3.31E-19,7,6,2002
159,6/8/02,5.521776,3.09E-19,8,6,2002
160,6/9/02,3.9077184,2.19E-19,9,6,2002
161,6/10/02,2.9166304,1.63E-19,10,6,2002
162,6/11/02,2.31631424,1.30E-19,11,6,2002
163,6/12/02,3.5396,1.98E-19,12,6,2002
164,6/13/02,7.5322688,4.22E-19,13,6,2002
165,6/14/02,5.9748448,3.35E-19,14,6,2002
166,6/15/02,5.2102912,2.92E-19,15,6,2002
167,6/16/02,6.654448,3.73E-19,16,6,2002
168,6/17/02,5.946528,3.33E-19,17,6,2002
169,6/18/02,4.530688,2.54E-19,18,6,2002
170,6/19/02,3.4829664,1.95E-19,19,6,2002
171,6/20/02,2.9449472,1.65E-19,20,6,2002
172,6/21/02,2.62779904,1.47E-19,21,6,2002
173,6/22/02,2.973264,1.67E-19,22,6,2002
174,6/23/02,4.5023712,2.52E-19,23,6,2002
175,6/24/02,4.8704896,2.73E-19,24,6,2002
176,6/25/02,3.964352,2.22E-19,25,6,2002
177,6/26/02,2.8883136,1.62E-19,26,6,2002
178,6/27/02,2.2511856,1.26E-19,27,6,2002
179,6/28/02,2.25401728,1.26E-19,28,6,2002
180,6/29/02,2.83168,1.59E-19,29,6,2002
181,6/30/02,2.63629408,1.48E-19,30,6,2002
182,7/1/02,2.18322528,1.22E-19,1,7,2002
183,7/2/02,1.7981168,1.01E-19,2,7,2002
184,7/3/02,1.56025568,8.74E-20,3,7,2002
185,7/4/02,1.37053312,7.68E-20,4,7,2002
186,7/5/02,1.16665216,6.53E-20,5,7,2002
187,7/6/02,0.99958304,5.60E-20,6,7,2002
188,7/7/02,0.90330592,5.06E-20,7,7,2002
189,7/8/02,0.84100896,4.71E-20,8,7,2002
190,7/9/02,0.72774176,4.08E-20,9,7,2002
191,7/10/02,0.71924672,4.03E-20,10,7,2002
192,7/11/02,0.6088112,3.41E-20,11,7,2002
193,7/12/02,0.56350432,3.16E-20,12,7,2002
194,7/13/02,0.51253408,2.87E-20,13,7,2002
195,7/14/02,0.5097024,2.85E-20,14,7,2002
196,7/15/02,0.51253408,2.87E-20,15,7,2002
197,7/16/02,0.495544,2.78E-20,16,7,2002
198,7/17/02,0.46156384,2.59E-20,17,7,2002
199,7/18/02,0.4530688,2.54E-20,18,7,2002
200,7/19/02,0.43041536,2.41E-20,19,7,2002
201,7/20/02,0.424752,2.38E-20,20,7,2002
202,7/21/02,0.424752,2.38E-20,21,7,2002
203,7/22/02,0.39926688,2.24E-20,22,7,2002
204,7/23/02,0.37944512,2.13E-20,23,7,2002
205,7/24/02,0.43324704,2.43E-20,24,7,2002
206,7/25/02,0.34546496,1.93E-20,25,7,2002
207,7/26/02,0.3114848,1.74E-20,26,7,2002
208,7/27/02,0.31431648,1.76E-20,27,7,2002
209,7/28/02,0.3114848,1.74E-20,28,7,2002
210,7/29/02,0.32847488,1.84E-20,29,7,2002
211,7/30/02,0.30582144,1.71E-20,30,7,2002
212,7/31/02,0.26759376,1.50E-20,31,7,2002
213,8/1/02,0.243241312,1.36E-20,1,8,2002
214,8/2/02,0.227100736,1.27E-20,2,8,2002
215,8/3/02,0.195102752,1.09E-20,3,8,2002
216,8/4/02,0.186607712,1.05E-20,4,8,2002
217,8/5/02,0.182926528,1.02E-20,5,8,2002
218,8/6/02,0.167352288,9.37E-21,6,8,2002
219,8/7/02,0.141300832,7.91E-21,7,8,2002
220,8/8/02,0.121479072,6.80E-21,8,8,2002
221,8/9/02,0.112700864,6.31E-21,9,8,2002
222,8/10/02,0.108736512,6.09E-21,10,8,2002
223,8/11/02,0.118364224,6.63E-21,11,8,2002
224,8/12/02,0.121195904,6.79E-21,12,8,2002
225,8/13/02,0.147813696,8.28E-21,13,8,2002
226,8/14/02,0.197651264,1.11E-20,14,8,2002
227,8/15/02,0.11185136,6.26E-21,15,8,2002
228,8/16/02,0.09486128,5.31E-21,16,8,2002
229,8/17/02,0.085799904,4.81E-21,17,8,2002
230,8/18/02,0.087498912,4.90E-21,18,8,2002
231,8/19/02,0.091746432,5.14E-21,19,8,2002
232,8/20/02,0.088631584,4.96E-21,20,8,2002
233,8/21/02,0.086083072,4.82E-21,21,8,2002
234,8/22/02,0.071075168,3.98E-21,22,8,2002
235,8/23/02,0.089764256,5.03E-21,23,8,2002
236,8/24/02,0.085516736,4.79E-21,24,8,2002
237,8/25/02,0.097409792,5.46E-21,25,8,2002
238,8/26/02,0.09061376,5.08E-21,26,8,2002
239,8/27/02,0.081552384,4.57E-21,27,8,2002
240,8/28/02,0.068526656,3.84E-21,28,8,2002
241,8/29/02,0.072774176,4.08E-21,29,8,2002
242,8/30/02,0.2973264,1.67E-20,30,8,2002
243,8/31/02,0.166785952,9.34E-21,31,8,2002
244,9/1/02,0.14441568,8.09E-21,1,9,2002
245,9/2/02,0.153193888,8.58E-21,2,9,2002
246,9/3/02,0.17273248,9.67E-21,3,9,2002
247,9/4/02,0.192271072,1.08E-20,4,9,2002
248,9/5/02,0.170750304,9.56E-21,5,9,2002
249,9/6/02,0.158290912,8.87E-21,6,9,2002
250,9/7/02,0.12459392,6.98E-21,7,9,2002
251,9/8/02,0.0991088,5.55E-21,8,9,2002
252,9/9/02,0.101374144,5.68E-21,9,9,2002
253,9/10/02,0.096560288,5.41E-21,10,9,2002
254,9/11/02,0.075605856,4.23E-21,11,9,2002
255,9/12/02,0.071075168,3.98E-21,12,9,2002
256,9/13/02,0.064845472,3.63E-21,13,9,2002
257,9/14/02,0.05804944,3.25E-21,14,9,2002
258,9/15/02,0.0566336,3.17E-21,15,9,2002
259,9/16/02,0.35962336,2.01E-20,16,9,2002
260,9/17/02,0.40776192,2.28E-20,17,9,2002
261,9/18/02,0.278070976,1.56E-20,18,9,2002
262,9/19/02,0.188589888,1.06E-20,19,9,2002
263,9/20/02,0.164803776,9.23E-21,20,9,2002
264,9/21/02,0.138469152,7.76E-21,21,9,2002
265,9/22/02,0.125726592,7.04E-21,22,9,2002
266,9/23/02,0.208977984,1.17E-20,23,9,2002
267,9/24/02,0.21662352,1.21E-20,24,9,2002
268,9/25/02,0.142433504,7.98E-21,25,9,2002
269,9/26/02,0.128275104,7.18E-21,26,9,2002
270,9/27/02,0.15007904,8.41E-21,27,9,2002
271,9/28/02,0.3398016,1.90E-20,28,9,2002
272,9/29/02,0.29166304,1.63E-20,29,9,2002
273,9/30/02,0.258249216,1.45E-20,30,9,2002
274,10/1/02,0.246072992,1.38E-20,1,10,2002
275,10/2/02,0.218888864,1.23E-20,2,10,2002
276,10/3/02,0.197651264,1.11E-20,3,10,2002
277,10/4/02,0.165936448,9.29E-21,4,10,2002
278,10/5/02,0.204730464,1.15E-20,5,10,2002
279,10/6/02,0.194253248,1.09E-20,6,10,2002
280,10/7/02,0.187457216,1.05E-20,7,10,2002
281,10/8/02,0.187174048,1.05E-20,8,10,2002
282,10/9/02,0.16423744,9.20E-21,9,10,2002
283,10/10/02,0.140734496,7.88E-21,10,10,2002
284,10/11/02,0.145548352,8.15E-21,11,10,2002
285,10/12/02,0.171033472,9.58E-21,12,10,2002
286,10/13/02,0.1911384,1.07E-20,13,10,2002
287,10/14/02,0.46439552,2.60E-20,14,10,2002
288,10/15/02,0.32281152,1.81E-20,15,10,2002
289,10/16/02,0.35679168,2.00E-20,16,10,2002
290,10/17/02,0.991088,5.55E-20,17,10,2002
291,10/18/02,0.95710784,5.36E-20,18,10,2002
292,10/19/02,0.74473184,4.17E-20,19,10,2002
293,10/20/02,0.56067264,3.14E-20,20,10,2002
294,10/21/02,0.44740544,2.51E-20,21,10,2002
295,10/22/02,0.35396,1.98E-20,22,10,2002
296,10/23/02,0.33413824,1.87E-20,23,10,2002
297,10/24/02,0.39360352,2.20E-20,24,10,2002
298,10/25/02,0.59748448,3.35E-20,25,10,2002
299,10/26/02,1.0194048,5.71E-20,26,10,2002
300,10/27/02,2.09261152,1.17E-19,27,10,2002
301,10/28/02,1.911384,1.07E-19,28,10,2002
302,10/29/02,1.36203808,7.63E-20,29,10,2002
303,10/30/02,1.12984032,6.33E-20,30,10,2002
304,10/31/02,1.01374144,5.68E-20,31,10,2002
305,11/1/02,0.9344544,5.23E-20,1,11,2002
306,11/2/02,0.81269216,4.55E-20,2,11,2002
307,11/3/02,0.76172192,4.27E-20,3,11,2002
308,11/4/02,0.71641504,4.01E-20,4,11,2002
309,11/5/02,0.6937616,3.89E-20,5,11,2002
310,11/6/02,1.12700864,6.31E-20,6,11,2002
311,11/7/02,1.61122592,9.02E-20,7,11,2002
312,11/8/02,1.6706912,9.36E-20,8,11,2002
313,11/9/02,1.37902816,7.72E-20,9,11,2002
314,11/10/02,1.2176224,6.82E-20,10,11,2002
315,11/11/02,1.14399872,6.41E-20,11,11,2002
316,11/12/02,1.132672,6.34E-20,12,11,2002
317,11/13/02,2.50037344,1.40E-19,13,11,2002
318,11/14/02,3.3413824,1.87E-19,14,11,2002
319,11/15/02,2.45506656,1.38E-19,15,11,2002
320,11/16/02,2.04164128,1.14E-19,16,11,2002
321,11/17/02,2.34746272,1.31E-19,17,11,2002
322,11/18/02,3.3130656,1.86E-19,18,11,2002
323,11/19/02,3.5962336,2.01E-19,19,11,2002
324,11/20/02,2.8883136,1.62E-19,20,11,2002
325,11/21/02,2.548512,1.43E-19,21,11,2002
326,11/22/02,3.3130656,1.86E-19,22,11,2002
327,11/23/02,6.088112,3.41E-19,23,11,2002
328,11/24/02,6.1164288,3.43E-19,24,11,2002
329,11/25/02,4.672272,2.62E-19,25,11,2002
330,11/26/02,3.8794016,2.17E-19,26,11,2002
331,11/27/02,3.5112832,1.97E-19,27,11,2002
332,11/28/02,3.0582144,1.71E-19,28,11,2002
333,11/29/02,2.52302688,1.41E-19,29,11,2002
334,11/30/02,2.44373984,1.37E-19,30,11,2002
335,12/1/02,2.2370272,1.25E-19,1,12,2002
336,12/2/02,2.12376,1.19E-19,2,12,2002
337,12/3/02,1.982176,1.11E-19,3,12,2002
338,12/4/02,1.840592,1.03E-19,4,12,2002
339,12/5/02,1.699008,9.52E-20,5,12,2002
340,12/6/02,1.699008,9.52E-20,6,12,2002
341,12/7/02,1.63671104,9.17E-20,7,12,2002
342,12/8/02,1.557424,8.72E-20,8,12,2002
343,12/9/02,1.41017664,7.90E-20,9,12,2002
344,12/10/02,1.274256,7.14E-20,10,12,2002
345,12/11/02,1.274256,7.14E-20,11,12,2002
346,12/12/02,1.49229536,8.36E-20,12,12,2002
347,12/13/02,1.5715824,8.80E-20,13,12,2002
348,12/14/02,2.973264,1.67E-19,14,12,2002
349,12/15/02,6.9942496,3.92E-19,15,12,2002
350,12/16/02,6.5411808,3.66E-19,16,12,2002
351,12/17/02,4.672272,2.62E-19,17,12,2002
352,12/18/02,3.964352,2.22E-19,18,12,2002
353,12/19/02,3.5396,1.98E-19,19,12,2002
354,12/20/02,3.681184,2.06E-19,20,12,2002
355,12/21/02,8.5799904,4.81E-19,21,12,2002
356,12/22/02,8.070288,4.52E-19,22,12,2002
357,12/23/02,5.5784096,3.12E-19,23,12,2002
358,12/24/02,4.4174208,2.47E-19,24,12,2002
359,12/25/02,3.5679168,2.00E-19,25,12,2002
360,12/26/02,2.83168,1.59E-19,26,12,2002
361,12/27/02,2.973264,1.67E-19,27,12,2002
362,12/28/02,2.9166304,1.63E-19,28,12,2002
363,12/29/02,2.82318496,1.58E-19,29,12,2002
364,12/30/02,2.690096,1.51E-19,30,12,2002
365,12/31/02,2.548512,1.43E-19,31,12,2002
366,1/1/03,2.50320512,1.40E-19,1,1,2003
367,1/2/03,2.8883136,1.62E-19,2,1,2003
368,1/3/03,2.690096,1.51E-19,3,1,2003
369,1/4/03,2.690096,1.51E-19,4,1,2003
370,1/5/03,2.7325712,1.53E-19,5,1,2003
371,1/6/03,2.57966048,1.44E-19,6,1,2003
372,1/7/03,2.45223488,1.37E-19,7,1,2003
373,1/8/03,2.406928,1.35E-19,8,1,2003
374,1/9/03,2.406928,1.35E-19,9,1,2003
375,1/10/03,2.265344,1.27E-19,10,1,2003
376,1/11/03,2.03031456,1.14E-19,11,1,2003
377,1/12/03,1.982176,1.11E-19,12,1,2003
378,1/13/03,1.91987904,1.08E-19,13,1,2003
379,1/14/03,1.83492864,1.03E-19,14,1,2003
380,1/15/03,1.69334464,9.48E-20,15,1,2003
381,1/16/03,1.699008,9.52E-20,16,1,2003
382,1/17/03,1.69334464,9.48E-20,17,1,2003
383,1/18/03,1.61688928,9.06E-20,18,1,2003
384,1/19/03,1.49512704,8.37E-20,19,1,2003
385,1/20/03,1.4441568,8.09E-20,20,1,2003
386,1/21/03,1.37902816,7.72E-20,21,1,2003
387,1/22/03,1.33655296,7.49E-20,22,1,2003
388,1/23/03,1.3308896,7.45E-20,23,1,2003
389,1/24/03,1.32522624,7.42E-20,24,1,2003
390,1/25/03,1.29407776,7.25E-20,25,1,2003
391,1/26/03,1.29407776,7.25E-20,26,1,2003
392,1/27/03,1.27991936,7.17E-20,27,1,2003
393,1/28/03,1.25160256,7.01E-20,28,1,2003
394,1/29/03,1.20629568,6.76E-20,29,1,2003
395,1/30/03,1.19213728,6.68E-20,30,1,2003
396,1/31/03,1.34221632,7.52E-20,31,1,2003
397,2/1/03,1.36770144,7.66E-20,1,2,2003
398,2/2/03,1.47813696,8.28E-20,2,2,2003
399,2/3/03,1.53477056,8.60E-20,3,2,2003
400,2/4/03,1.70183968,9.53E-20,4,2,2003
401,2/5/03,2.06429472,1.16E-19,5,2,2003
402,2/6/03,2.43807648,1.37E-19,6,2,2003
403,2/7/03,2.43807648,1.37E-19,7,2,2003
404,2/8/03,2.20021536,1.23E-19,8,2,2003
405,2/9/03,2.03597792,1.14E-19,9,2,2003
406,2/10/03,1.93403744,1.08E-19,10,2,2003
407,2/11/03,1.83776032,1.03E-19,11,2,2003
408,2/12/03,1.76696832,9.90E-20,12,2,2003
409,2/13/03,1.70183968,9.53E-20,13,2,2003
410,2/14/03,1.63671104,9.17E-20,14,2,2003
411,2/15/03,1.61688928,9.06E-20,15,2,2003
412,2/16/03,1.59706752,8.94E-20,16,2,2003
413,2/17/03,1.61688928,9.06E-20,17,2,2003
414,2/18/03,1.61688928,9.06E-20,18,2,2003
415,2/19/03,1.63671104,9.17E-20,19,2,2003
416,2/20/03,1.63671104,9.17E-20,20,2,2003
417,2/21/03,1.67918624,9.40E-20,21,2,2003
418,2/22/03,1.72449312,9.66E-20,22,2,2003
419,2/23/03,2.50037344,1.40E-19,23,2,2003
420,2/24/03,3.964352,2.22E-19,24,2,2003
421,2/25/03,4.0776192,2.28E-19,25,2,2003
422,2/26/03,3.4546496,1.93E-19,26,2,2003
423,2/27/03,2.77221472,1.55E-19,27,2,2003
424,2/28/03,2.59948224,1.46E-19,28,2,2003
425,3/1/03,2.406928,1.35E-19,1,3,2003
426,3/2/03,2.70142272,1.51E-19,2,3,2003
427,3/3/03,3.3130656,1.86E-19,3,3,2003
428,3/4/03,3.0582144,1.71E-19,4,3,2003
429,3/5/03,2.9449472,1.65E-19,5,3,2003
430,3/6/03,2.9166304,1.63E-19,6,3,2003
431,3/7/03,2.66744256,1.49E-19,7,3,2003
432,3/8/03,2.5343536,1.42E-19,8,3,2003
433,3/9/03,2.56550208,1.44E-19,9,3,2003
434,3/10/03,2.6051456,1.46E-19,10,3,2003
435,3/11/03,2.4635616,1.38E-19,11,3,2003
436,3/12/03,2.42674976,1.36E-19,12,3,2003
437,3/13/03,2.38993792,1.34E-19,13,3,2003
438,3/14/03,2.31914592,1.30E-19,14,3,2003
439,3/15/03,2.21720544,1.24E-19,15,3,2003
440,3/16/03,2.2511856,1.26E-19,16,3,2003
441,3/17/03,2.77787808,1.56E-19,17,3,2003
442,3/18/03,4.105936,2.30E-19,18,3,2003
443,3/19/03,5.946528,3.33E-19,19,3,2003
444,3/20/03,6.512864,3.65E-19,20,3,2003
445,3/21/03,12.74256,7.14E-19,21,3,2003
446,3/22/03,22.8233408,1.28E-18,22,3,2003
447,3/23/03,22.8233408,1.28E-18,23,3,2003
448,3/24/03,19.9350272,1.12E-18,24,3,2003
449,3/25/03,17.414832,9.75E-19,25,3,2003
450,3/26/03,17.4997824,9.80E-19,26,3,2003
451,3/27/03,20.8694816,1.17E-18,27,3,2003
452,3/28/03,21.4641344,1.20E-18,28,3,2003
453,3/29/03,17.7263168,9.93E-19,29,3,2003
454,3/30/03,21.1243328,1.18E-18,30,3,2003
455,3/31/03,26.0797728,1.46E-18,31,3,2003
456,4/1/03,17.8962176,1.00E-18,1,4,2003
457,4/2/03,12.6576096,7.09E-19,2,4,2003
458,4/3/03,11.1001856,6.22E-19,3,4,2003
459,4/4/03,10.5338496,5.90E-19,4,4,2003
460,4/5/03,9.3162272,5.22E-19,5,4,2003
461,4/6/03,8.353456,4.68E-19,6,4,2003
462,4/7/03,7.5322688,4.22E-19,7,4,2003
463,4/8/03,6.7677152,3.79E-19,8,4,2003
464,4/9/03,6.229696,3.49E-19,9,4,2003
465,4/10/03,5.9182112,3.31E-19,10,4,2003
466,4/11/03,7.220784,4.04E-19,11,4,2003
467,4/12/03,12.9974112,7.28E-19,12,4,2003
468,4/13/03,16.0273088,8.98E-19,13,4,2003
469,4/14/03,12.4877088,6.99E-19,14,4,2003
470,4/15/03,9.8825632,5.53E-19,15,4,2003
471,4/16/03,8.636624,4.84E-19,16,4,2003
472,4/17/03,7.5605856,4.23E-19,17,4,2003
473,4/18/03,6.2580128,3.50E-19,18,4,2003
474,4/19/03,5.521776,3.09E-19,19,4,2003
475,4/20/03,5.097024,2.85E-19,20,4,2003
476,4/21/03,4.7005888,2.63E-19,21,4,2003
477,4/22/03,4.4174208,2.47E-19,22,4,2003
478,4/23/03,5.4934592,3.08E-19,23,4,2003
479,4/24/03,6.6261312,3.71E-19,24,4,2003
480,4/25/03,7.4473184,4.17E-19,25,4,2003
481,4/26/03,6.3995968,3.58E-19,26,4,2003
482,4/27/03,13.45048,7.53E-19,27,4,2003
483,4/28/03,14.4698848,8.10E-19,28,4,2003
484,4/29/03,9.1180096,5.11E-19,29,4,2003
485,4/30/03,6.5411808,3.66E-19,30,4,2003
486,5/1/03,5.3235584,2.98E-19,1,5,2003
487,5/2/03,4.8988064,2.74E-19,2,5,2003
488,5/3/03,6.937616,3.89E-19,3,5,2003
489,5/4/03,7.0792,3.96E-19,4,5,2003
490,5/5/03,5.3518752,3.00E-19,5,5,2003
491,5/6/03,4.6439552,2.60E-19,6,5,2003
492,5/7/03,4.1908864,2.35E-19,7,5,2003
493,5/8/03,4.0776192,2.28E-19,8,5,2003
494,5/9/03,4.24752,2.38E-19,9,5,2003
495,5/10/03,4.3041536,2.41E-19,10,5,2003
496,5/11/03,3.7378176,2.09E-19,11,5,2003
497,5/12/03,5.1536576,2.89E-19,12,5,2003
498,5/13/03,6.512864,3.65E-19,13,5,2003
499,5/14/03,6.7393984,3.77E-19,14,5,2003
500,5/15/03,6.5411808,3.66E-19,15,5,2003
501,5/16/03,5.1536576,2.89E-19,16,5,2003
